CustomerID,PersonID,StoreID,TerritoryID,AccountNumber,rowguid,ModifiedDate,VIP
1,NULL,934,1,AW00000001,3F5AE95E-B87D-4AED-95B4-C3797AFCB74F,15:07.3,0
2,NULL,1028,1,AW00000002,E552F657-A9AF-4A7D-A645-C429D6E02491,15:07.3,0
3,NULL,642,4,AW00000003,130774B1-DB21-4EF3-98C8-C104BCD6ED6D,15:07.3,0
4,NULL,932,4,AW00000004,FF862851-1DAA-4044-BE7C-3E85583C054D,15:07.3,0
5,NULL,1026,4,AW00000005,83905BDC-6F5E-4F71-B162-C98DA069F38A,15:07.3,0
6,NULL,644,4,AW00000006,1A92DF88-BFA2-467D-BD54-FCB9E647FDD7,15:07.3,0
7,NULL,930,1,AW00000007,03E9273E-B193-448E-9823-FE0C44AEED78,15:07.3,0
8,NULL,1024,5,AW00000008,801368B1-4323-4BFA-8BEA-5B5B1E4BD4A0,15:07.3,1
9,NULL,620,5,AW00000009,B900BB7F-23C3-481D-80DA-C49A5BD6F772,15:07.3,1
10,NULL,928,6,AW00000010,CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD,15:07.3,1
11,NULL,1022,6,AW00000011,750F3495-59C4-48A0-80E1-E37EC60E77D9,15:07.3,1
12,NULL,622,6,AW00000012,947BCAF1-1F32-44F3-B9C3-0011F95FBE54,15:07.3,1
13,NULL,434,7,AW00000013,B0FA5854-2511-439B-A7AC-50C9C460B175,15:07.3,1
14,NULL,1020,8,AW00000014,2F96BEDC-723D-468F-834B-B2B8AE79C849,15:07.3,0
15,NULL,624,9,AW00000015,0340737B-D4FA-4795-93AA-CAEB8371BCF9,15:07.3,0
16,NULL,432,10,AW00000016,C9381589-D31C-4EFE-8978-8D3449EB1F0F,15:07.3,0
17,NULL,1018,5,AW00000017,34DB417F-1E0B-4408-9FF6-987E59D0D73C,15:07.3,0
18,NULL,1332,3,AW00000018,C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45,15:07.3,0
19,NULL,430,1,AW00000019,69AE5D43-31BE-4B76-BFBB-5A23C4788BBC,15:07.3,0
20,NULL,1016,1,AW00000020,E010C10A-F1C3-4BBA-81CA-A7E083350400,15:07.3,0
21,NULL,1334,4,AW00000021,564E0B42-4609-43DE-9881-914DA433D82D,15:07.3,0
22,NULL,494,3,AW00000022,9774AED6-D673-412D-B481-2573E470B478,15:07.3,0
23,NULL,1014,4,AW00000023,733F8250-3251-4C2A-8C85-C285BB76B7B4,15:07.3,0
24,NULL,1336,4,AW00000024,C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD,15:07.3,0
25,NULL,492,4,AW00000025,31D03546-FB2A-4488-890E-4709A659E3F0,15:07.3,0
26,NULL,1012,5,AW00000026,FD4898DE-D128-4719-8C74-9F77605AAC4A,15:07.3,0
27,NULL,1338,5,AW00000027,CACA5149-D799-473B-847F-83F3613D3D1F,15:07.3,0
28,NULL,490,6,AW00000028,9B8A04A4-D909-4F49-B1C5-3DE317D69B2A,15:07.3,0
29,NULL,1010,6,AW00000029,ECA7C8FA-490B-4B97-9C32-043C90F789E8,15:07.3,0
30,NULL,1340,6,AW00000030,2B15DFB1-831E-49E7-B337-395798B129E7,15:07.3,0
